#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,,,,,,,,,
1,1044552,NAIROBI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
2,1048552,KIIRUA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
3,1049552,SHAMBERERE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
4,1051552,FRIENDS COLLEGE KAIMOSI,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
5,1052552,NKABUNE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
6,1054552,BARINGO TECHNICAL COLLEGE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
7,1064552,KABETE NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
8,1065552,KISII NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
9,1067552,COAST INSTITUTE OF TECHNOLOGY,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
10,1074552,KISUMU POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
11,1075552,KIAMBU INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
12,1076552,PC KINYANJUI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
13,1083552,MERU NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
14,1084552,SIGALAGALA NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
15,1085552,KISIWA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
16,1099552,KAIBOI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND DEVELOPMENT,C-,,,,,
17,1100552,RIFT VALLEY TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
18,1101552,KITALE NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
19,1104552,OL'LESSOS TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND DEVELOPMENT,C-,,,,,
20,1106552,RAILWAY TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
21,1108552,KIBABII UNIVERSITY,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
22,1110552,BUMBE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
23,1112552,TECHNICAL UNIVERSITY OF KENYA,DIPLOMA IN SOCIAL WORK AND DEVELOPMENT,C-,,,,,
24,1113552,KENYA COAST POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
25,1166552,SOUTH EASTERN KENYA UNIVERSITY,DIPLOMA IN SOCIAL WORK AND SOCIAL DEVELOPMENT,C-,,,,,
26,1170552,MACHAKOS UNIVERSITY,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
27,1190552,BUSHIANGALA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
28,1216552,SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
29,1227552,KEROKA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
30,1237552,ELDORET POLYTECHNIC,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
31,1239552,NYERI NATIONAL POLYTECHNIC,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
32,1241552,RAMOGI INSTITUTE OF ADVANCE TECHNOLOGY,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
33,1269552,THIKA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
34,1276552,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
35,1307552,MATILI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
36,1430552,SIAYA INSTITUTE OF TECHNOLOGY,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
37,1450552,MITUNGUU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
38,1465552,BONDO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
39,1505552,MACHAKOS TECHNICAL INSTITUTE FOR THE BLIND,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
40,1510552,ALDAI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
41,1520552,KATINE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
42,1560552,MAWEGO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
43,1565552,GODOMA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
44,1570552,TURKANA UNIVERSITY COLLEGE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
45,1575552,TSEIKURU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
46,1610552,SIALA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK& COMMUNITY DEVELOPMENT,C-,,,,,
47,1615552,AHMED SHAHAME MWIDANI TECHNICAL TRAINING ,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
,,INSTITUTE,,,,,,,
48,1620552,WERU TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
49,1625552,MAASAI MARA TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
50,1645552,EKERUBO GIETAI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN COMMUNITY DEVELOPMENT AND SOCIAL WORK,C-,,,,,
51,1650552,ZIWA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
52,1675552,BURETI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
53,1705552,SOT TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK & COMMUNITY DEVELOPMENT,C-,,,,,
54,1720552,SOTIK TECHNICAL TRAINING INSTITUTE,DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,C-,,,,,
