#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,,,,,
,,,,,
,,BACHELOR OF ARTS,,,
1,1057101,EGERTON UNIVERSITY,BACHELOR OF ARTS,24.188,
2,1073101,RONGO UNIVERSITY,BACHELOR OF ARTS,24.574,
3,1087101,KISII UNIVERSITY,BACHELOR OF ARTS,24.286,
4,1105101,CHUKA UNIVERSITY,BACHELOR OF ARTS,23.714,
5,1111101,KENYATTA UNIVERSITY,BACHELOR OF ARTS,24.057,
6,1117101,PWANI UNIVERSITY,BACHELOR OF ARTS,-,
7,1166101,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF ARTS,22.449,
8,1170101,MACHAKOS UNIVERSITY,BACHELOR OF ARTS,24.666,
9,1253101,MOI UNIVERSITY,BACHELOR OF ARTS,23.716,
10,1263101,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS,23.248,
11,1685101,THARAKA UNIVERSITY,BACHELOR OF ARTS,22.449,
12,1700101,BOMET UNIVERSITY COLLEGE,BACHELOR OF ARTS,22.449,
13,3890101,KOITALEEL SAMOEI UNIVERSITY COLLEGE,BACHELOR OF ARTS,22.449,
14,1229101,MASENO UNIVERSITY,BACHELOR OF ARTS (WITH IT),23.721,
15,1515101,TOM MBOYA UNIVERSITY,BACHELOR OF ARTS (WITH IT),,
16,1164101,MULTIMEDIA UNIVERSITY OF KENYA,"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",22.449,
,,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,,,
1,1063102,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,38.365,
2,1112102,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,41.035,
3,1249564,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ,41.803,
,,AGRICULTURE AND TECHNOLOGY,ARCHITECTURE,,
4,1263102,UNIVERSITY OF NAIROBI,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,42.99,
5,1111102,KENYATTA UNIVERSITY,BACHELOR OF ARCHITECTURE,41.494,
,,BACHELOR OF QUANTITY SURVEYING,,,
1,1063103,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF QUANTITY SURVEYING,-,
2,1112103,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF QUANTITY SURVEYING,38.424,
3,1249103,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF QUANTITY SURVEYING,39.763,
,,AGRICULTURE AND TECHNOLOGY,,,
4,1263103,UNIVERSITY OF NAIROBI,BACHELOR OF QUANTITY SURVEYING,40.232,
,,BACHELOR OF ARTS (DESIGN),,,
1,1263105,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS (DESIGN),26.093,
,,BACHELOR OF ARTS (ANTHROPOLOGY),,,
1,1263106,UNIVERSITY OF NAIROBI,BACHELOR OF ARTS (ANTHROPOLOGY),22.449,
2,1117106,PWANI UNIVERSITY,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,
3,1480106,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,
,,BACHELOR OF ACTUARIAL SCIENCE,,,
1,1087107,KISII UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,
2,1103107,KCA UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,
3,1685107,THARAKA UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,18.831,
4,1053107,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),18.831,
5,1229107,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",26.81,
6,1515107,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",18.831,
7,1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),32.262,
8,1096107,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,
9,1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),34.474,
10,1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,
11,1166107,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,
12,1170107,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),23.617,
,,,,,
#,PROG ,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,CODE,,,,
13,1240107,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,
14,1253107,MOI UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),24.905,
15,1263107,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),39.531,
16,1061107,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
17,1079107,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
18,1080107,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.061,
19,1093107,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,
20,1105107,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.416,
21,1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,23.568,
22,1162107,DAYSTAR UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
23,1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,28.075,
24,1173107,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,24.443,
25,1244107,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
26,1246107,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,,
27,1249107,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,34.347,
,,AGRICULTURE AND TECHNOLOGY,,,
28,1279107,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
29,1425107,ZETECH UNIVERSITY,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
30,1480107,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",,,,,
1,1229108,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",25.535,
2,1515108,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",15.683,
3,1082108,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),25.036,
4,1087108,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,
5,1093108,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,
6,1117108,PWANI UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,
7,1246108,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,
8,1263108,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),27.458,
9,1279108,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,
10,1091108,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,
11,1105108,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,
12,1164108,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,
13,1173108,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,
14,1249108,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,24.943,
,,AGRICULTURE AND TECHNOLOGY,,,
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",,,,,
1,1229109,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",22.755,
2,1515109,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",18.831,
3,1073109,RONGO UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
4,1108109,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
5,1112109,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (MATHEMATICS),24.252,
6,1117109,PWANI UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
7,1165109,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
8,1166109,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
9,1170109,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),18.831,
10,1263109,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (MATHEMATICS),32.945,
11,1480109,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,BACHELOR OF SCIENCE (MATHEMATICS),-,
12,1105109,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS,23.741,
13,1181109,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS,18.831,
,,,,,
#,PROG ,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,CODE,,,,
14,1240109,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN MATHEMATICS,18.831,
15,1460109,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN MATHEMATICS,18.831,
BACHELOR OF SCIENCE (METEOROLOGY),,,,,
1,1166110,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (METEOROLOGY),15.683,
2,1263110,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (METEOROLOGY),15.683,
BACHELOR OF SCIENCE (BIOLOGY),,,,,
1,1082111,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (BIOLOGY),15.683,
2,1093111,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (BIOLOGY),15.683,
3,1108111,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),15.683,
4,1111111,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),24.74,
5,1166111,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),-,
6,1263111,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (BIOLOGY),24.957,
7,1470111,KAIMOSI FRIENDS UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),15.683,
